,Unnamed: 0,incident_name,incident_date_created,incident_county,incident_acres_burned,None,D0,D1,D2,D3,D4,MapDate,County
129,129,Pinnacles Fire,2021-07-28T00:00:00Z,Monterey,171.0,0.0,0.0,0.0,0.0,97.52,2.48,20210727.0,Monterey County
130,130,Evans Fire,2021-07-29T19:14:42Z,Plumas,85.0,0.0,0.0,0.0,0.0,66.26,33.74,20210727.0,Plumas County
131,131,McFarland Fire,2021-07-30T18:44:00Z,Shasta,122653.0,0.0,0.0,0.0,0.0,20.29,79.71,20210803.0,Shasta County
132,132,McFarland Fire,2021-07-30T18:44:00Z,Trinity,122653.0,0.0,0.0,0.0,0.0,100.0,0.0,20210803.0,Trinity County
133,133,McFarland Fire,2021-07-30T18:44:00Z,Tehama,122653.0,0.0,0.0,0.0,0.0,16.18,83.82,20210803.0,Tehama County
134,134,Robie Fire,2021-07-30T00:00:00Z,Calaveras,153.0,0.0,0.0,0.0,0.0,2.53,97.47,20210727.0,Calaveras County
135,135,Hungry Fire,2021-07-31T00:00:00Z,Los Angeles,340.0,0.0,0.0,1.41,0.01,78.59,19.99,20210803.0,Los Angeles County
136,136,Tobin Fire,2021-07-31T17:10:53Z,San Luis Obispo,75.0,0.0,0.0,0.0,0.0,82.3,17.7,20210803.0,San Luis Obispo County
137,137,Antelope Fire,2021-08-01T11:28:25Z,Siskiyou,,0.0,0.0,1.16,4.81,87.45,6.57,20210803.0,Siskiyou County
138,138,Hiding Fire,2021-08-01T00:00:00Z,Shasta,50.0,0.0,0.0,0.0,0.0,20.29,79.71,20210803.0,Shasta County
139,139,Monument Fire,2021-07-30T12:28:00Z,Trinity,,0.0,0.0,0.0,0.0,100.0,0.0,20210803.0,Trinity County
140,140,River Complex,2021-07-30T18:17:40Z,Siskiyou,,0.0,0.0,1.16,4.81,87.45,6.57,20210803.0,Siskiyou County
141,141,River Complex,2021-07-30T18:17:40Z,Trinity,,0.0,0.0,0.0,0.0,100.0,0.0,20210803.0,Trinity County
142,142,Antonio Fire,2021-08-03T13:02:00Z,Los Angeles,50.0,0.0,0.0,1.41,0.01,78.59,19.99,20210803.0,Los Angeles County
143,143,House Fire,2021-08-04T00:00:00Z,Shasta,60.0,0.0,0.0,0.0,0.0,20.29,79.71,20210803.0,Shasta County
144,144,River Fire,2021-08-04T00:00:00Z,Nevada,2619.0,0.0,0.0,0.0,0.0,41.64,58.36,20210803.0,Nevada County
145,145,River Fire,2021-08-04T00:00:00Z,Placer,2619.0,0.0,0.0,0.0,0.0,44.02,55.98,20210803.0,Placer County
146,146,Hambone Fire,2021-08-06T11:11:37Z,Siskiyou,55.0,0.0,0.0,1.16,4.81,87.45,6.57,20210810.0,Siskiyou County
147,147,Nelson Fire,2021-08-07T00:00:00Z,Shasta,20.0,0.0,0.0,0.0,0.0,20.29,79.71,20210810.0,Shasta County
148,148,Glen Fire,2021-08-11T00:00:00Z,Yuba,184.0,0.0,0.0,0.0,0.0,0.0,100.0,20210810.0,Yuba County
149,149,Middle Fire,2021-08-13T00:00:00Z,Sonoma,22.0,0.0,0.0,0.0,0.0,0.0,100.0,20210810.0,Sonoma County
150,150,Coyote Fire,2021-08-13T00:00:00Z,Lake,127.0,0.0,0.0,0.0,0.0,25.97,74.03,20210810.0,Lake County
151,151,Bell Fire,2021-08-14T00:00:00Z,Mendocino,50.0,0.0,0.0,0.0,0.0,51.53,48.47,20210817.0,Mendocino County
152,152,Caldor Fire,2021-08-14T18:54:00Z,El Dorado,,0.0,0.0,0.0,0.0,39.38,60.62,20210817.0,El Dorado County
153,153,Caldor Fire,2021-08-14T18:54:00Z,Alpine,,0.0,0.0,0.0,0.0,100.0,0.0,20210817.0,Alpine County
154,154,Caldor Fire,2021-08-14T18:54:00Z,Amador,,0.0,0.0,0.0,0.0,14.91,85.09,20210817.0,Amador County
155,155,Walkers Fire,2021-08-16T16:05:54Z,Tulare,8777.0,0.0,0.0,0.0,0.0,0.0,100.0,20210817.0,Tulare County
156,156,Cache Fire,2021-08-18T12:34:00Z,Lake,83.0,0.0,0.0,0.0,0.0,25.97,74.03,20210817.0,Lake County
157,157,McCash Fire,2021-08-18T08:50:00Z,Siskiyou,,0.0,0.0,0.0,5.98,53.66,40.36,20210817.0,Siskiyou County
158,158,French Fire,2021-08-18T18:20:00Z,Kern,,0.0,0.0,0.0,0.0,10.59,89.41,20210817.0,Kern County
159,159,Rock Fire,2021-08-24T13:38:00Z,Riverside,295.0,0.0,0.0,0.0,64.38,33.86,1.76,20210824.0,Riverside County
160,160,Mule Fire,2021-08-25T00:00:00Z,Shasta,10.0,0.0,0.0,0.0,0.0,9.9,90.1,20210824.0,Shasta County
161,161,Airola Fire,2021-08-25T14:55:00Z,Calaveras,639.0,0.0,0.0,0.0,0.0,2.53,97.47,20210824.0,Calaveras County
162,162,South Fire,2021-08-25T16:11:00Z,San Bernardino,819.0,0.0,0.0,0.0,9.26,73.03,17.71,20210824.0,San Bernardino County
163,163,Westward Fire,2021-08-25T14:17:00Z,Riverside,160.0,0.0,0.0,0.0,64.38,33.86,1.76,20210824.0,Riverside County
164,164,Bennett Fire,2021-08-25T15:33:00Z,Nevada,59.0,0.0,0.0,0.0,0.0,41.64,58.36,20210824.0,Nevada County
165,165,Washington Fire,2021-08-26T13:20:00Z,Tuolumne,100.0,0.0,0.0,0.0,0.0,8.34,91.66,20210824.0,Tuolumne County
166,166,Roadside Fire,2021-08-28T11:25:00Z,San Bernardino,50.0,0.0,0.0,0.0,9.26,73.03,17.71,20210831.0,San Bernardino County
167,167,Chaparral Fire,2021-08-28T12:40:00Z,Riverside,1427.0,0.0,0.0,0.0,64.38,33.86,1.76,20210831.0,Riverside County
168,168,Chaparral Fire,2021-08-28T12:40:00Z,San Diego,1427.0,0.0,0.0,89.99,10.01,0.0,0.0,20210831.0,San Diego County
